=== H_TABLE_BEGIN ===
f_actual,H_mag,H_phase_deg,res,settled
100.00,0.01457,87.250,12,1
133.35,0.02102,90.863,12,1
177.83,0.02829,89.523,12,1
237.14,0.03779,88.442,12,1
316.23,0.04988,87.593,12,1
421.70,0.06608,86.453,12,1
562.35,0.08729,84.624,12,1
749.92,0.11635,83.095,12,1
1000.00,0.15382,80.795,12,1
1154.73,0.17651,79.594,12,1
1200.00,0.18318,79.230,12,1
1333.57,0.20269,78.076,12,1
1400.04,0.21185,77.626,12,1
1540.04,0.23208,76.494,12,1
1599.83,0.24021,76.063,12,1
1778.09,0.26548,74.633,12,1
1799.86,0.26815,74.423,12,1
2000.00,0.29522,72.934,12,1
2053.67,0.30273,72.471,12,1
2200.06,0.32193,71.411,12,1
2371.17,0.34436,70.130,12,1
2400.00,0.34765,69.917,12,1
2599.65,0.37366,68.499,12,1
2738.23,0.39016,67.476,12,1
2799.55,0.38794,68.224,12,0
3000.00,0.42067,65.694,12,1
3161.89,0.43977,64.618,12,1
3199.66,0.44400,64.368,12,1
3399.82,0.46612,63.068,12,1
3600.58,0.48757,61.772,12,1
3651.41,0.49280,61.414,12,1
3799.39,0.50810,60.521,12,1
4000.00,0.52815,59.300,12,1
4215.85,0.54911,58.007,12,1
4398.83,0.56558,56.967,12,1
4601.23,0.58252,56.012,12,1
4798.46,0.59918,54.895,12,1
4870.13,0.60671,54.322,12,1
5000.00,0.61743,53.684,12,1
5201.11,0.63223,52.764,12,1
5399.57,0.64812,51.627,12,1
5601.19,0.66178,50.621,12,1
5622.19,0.66444,50.500,12,1
5800.46,0.67676,49.697,12,1
6000.00,0.68990,48.771,12,1
6198.35,0.70297,47.837,12,1
6276.15,0.70565,47.764,12,1
6286.67,0.70783,47.581,12,1
6297.23,0.70847,47.551,12,1
6323.78,0.71006,47.430,12,1
6334.46,0.70909,47.501,12,1
6350.55,0.71179,47.319,12,1
6377.55,0.71315,47.205,12,1
6388.42,0.71275,47.236,12,1

6399.32,0.71434,47.081,12,1
6426.74,0.71582,46.973,12,1
6437.77,0.71731,46.929,12,1
6448.84,0.71795,46.867,12,1
6476.68,0.71943,46.756,12,1
6493.51,0.72135,46.543,12,1
6504.77,0.72150,46.644,12,1
6527.42,0.72209,46.507,12,1
6538.80,0.72308,46.482,12,1
6550.22,0.72389,46.436,12,1
6573.18,0.72504,46.341,12,1
6584.72,0.72453,46.391,12,1
6602.11,0.72723,46.118,12,1
6625.44,0.72814,46.141,12,1
6637.17,0.72908,46.058,12,1
6648.94,0.72969,46.023,12,1
6672.60,0.73090,45.925,12,1
6684.49,0.73154,45.892,12,1
6696.43,0.73224,45.826,12,1
6726.46,0.73400,45.709,12,1
6738.54,0.73470,45.649,12,1
6750.68,0.73538,45.577,12,1
6775.07,0.73677,45.479,12,1
6787.33,0.73605,45.574,12,1
6799.64,0.73853,45.292,12,1
6824.39,0.73943,45.305,12,1
6836.83,0.74016,45.254,12,1
6849.31,0.74078,45.177,12,1
6874.43,0.74213,45.095,12,1
6887.05,0.74176,45.135,12,1
6899.72,0.74356,44.992,12,1
6925.21,0.74501,44.889,12,1
