CH1_RAW,CH2_RAW
22848,53783
22831,53968
23551,24664
24218,24540
24963,24552
25856,24460
26623,24541
27211,24448
28362,24691
29020,24578
29695,24539
30487,24492
31219,24484
32056,24541
32738,24508
33716,24654
34355,24612
35182,24544
35877,24479
36595,24480
37672,24551
38333,24488
39284,24613
40018,24577
40693,24519
41351,24484
41479,24471
40920,24583
40083,24484
39464,24637
38559,24492
37795,24548
37038,24499
36002,24495
35402,24602
34470,24472
33797,24590
32981,24492
32226,24553
31448,24501
30588,24515
29918,24603
29102,24473
28462,24591
27420,24484
26709,24551
26048,24578
25092,53815
24489,53954
23586,53839
22970,53892
22688,53848
23551,24615
24269,24616
24920,24560
25970,24600
26623,24441
27283,24539
28176,24466
28989,24619
29720,24614
30453,24540
31366,24579
31939,24468
32827,24535
33555,24456
34375,24679
35237,24631
35903,24536
36904,24531
37558,24448
38346,24532
39135,24466
40013,24687
40778,24620
41369,24546
41596,24519
40799,24473
40108,24535
39349,24472
38676,24677
37885,24613
37037,24539
36100,24478
35323,24448
34510,24547
33730,24475
33144,24663
32266,24584
31486,24510
30611,24495
29760,24472
29161,24557
28392,24470
27751,24645
26703,24496
26070,24535
25097,53842
24376,53783
23683,53944
22906,53814
22839,53888
23478,24522
24213,24548
24906,24485
25860,24528
26623,24591
27217,24454
28275,24573
28888,24468
29695,24530
30419,24532
31272,24530
32052,24591
32741,24486
33636,24557
34257,24496
35169,24591
35907,24592
36635,24551
37706,24558
38315,24457
39208,24551
39935,24480
40728,24639
41421,24626
41579,24585
40943,24584
40053,24458
39456,24599
38509,24469
37887,24675
37157,24616
36089,24560
35405,24541
34447,24456
33791,24527
32964,24474
32340,24691
31585,24625
30638,24548
29881,24517
29096,24464
28428,24547
27409,24480
26828,24639
26138,24603
25128,53794
24431,53849
23571,53819
22959,53932
22666,53823
23551,24711
24303,24531
24912,24539
25826,24505
26623,24493
27291,24583
28173,24480
29080,24605
29695,24498
30421,24542
31296,24478
31982,24507
32846,24591
33527,24473
34368,24571
35137,24496
35858,24529
36652,24504
37586,24532
38397,24588
39144,24472
39941,24555
40660,24465
41360,24546
41580,24580
40901,24546
40212,24603
39330,24480
38588,24558
37805,24481
37041,24607
36140,24608
35379,24544
34570,24607
33747,24473
33057,24552
32170,24470
31536,24649
30792,24629
29844,24557
29201,24585
28388,24480
27703,24559
26625,24475
26186,24693
25200,53946
24445,53821
23702,53919
22900,53759
22783,53888
23456,24512
24349,24695
24988,24634
25898,24549
26623,24500
27137,24442
28255,24533
28880,24464
29762,24687
30530,24612
31296,24528
31982,24477
32715,24452
33603,24535
34230,24464
35279,24671
35956,24528
36625,24510
37565,24491
38256,24472
39187,24527
39871,24464
40800,24621
41372,24484
41549,24524
40873,24469
40053,24484
39423,24603
38485,24473
37887,24559
37022,24480
36075,24524
35327,24504
34487,24534
33814,24604
32956,24468
32254,24593
31461,24480
30614,24548
29849,24585
29156,24536
28475,24599
27405,24500
26749,24563
26064,24483
25128,53888
24477,53965
23694,53839
22979,53970
22692,53790
23515,24618
24200,24522
24984,24659
25922,24640
26623,24580
27304,24551
28148,24456
28958,24559
29688,24464
30509,24685
31352,24614
32035,24547
32836,24533
33497,24470
34339,24557
35091,24476
35980,24691
36924,24626
37607,24554
38347,24493
39128,24451
39944,24543
40633,24481
41460,24687
41663,24625
40915,24540
40144,24523
39305,24464
38591,24556
37808,24488
37154,24679
36181,24514
35373,24515
34509,24472
33730,24504
33051,24599
32216,24490
31613,24631
30724,24498
29877,24537
29102,24488
28406,24514
27729,24591
26633,24482
26175,24555
25104,53816
24441,53781
23625,53869
22938,53847
22741,53944
23457,24518
24249,24571
24833,24490
25865,24529
26615,24538
27226,24547
28277,24591
28864,24472
29695,24565
30413,24466
31270,24557
32018,24578
32776,24524
33632,24599
34241,24459
35168,24535
35839,24471
36647,24615
37631,24580
38327,24541
39234,24588
39863,24476
40704,24535
41326,24472
41638,24654
40943,24628
40120,24542
39468,24580
38531,24472
37840,24549
37013,24492
36213,24643
35447,24620
34532,24560
33813,24521
32953,24492
32253,24551
31489,24457
30779,24671
29947,24630
29180,24555
28465,24542
27421,24476
26731,24558
26052,24468
25233,53952
24529,53914
23706,53815
22951,53891
22662,53775
23511,24631
24170,24500
25031,24695
25893,24516
26620,24549
27240,24473
28153,24490
28939,24591
29668,24468
30551,24597
31264,24485
32022,24506
32736,24485
33503,24500
34369,24563
35090,24475
35902,24599
36591,24504
37578,24512
38301,24516
39110,24488
39954,24588
40623,24473
41392,24555
41567,24480
40882,24548
40168,24546
39350,24512
38625,24609
37797,24473
37120,24595
36062,24480
35377,24594
34581,24524
33776,24530
33097,24587
32194,24468
31544,24571
30615,24473
29930,24660
29138,24591
28449,24546
27729,24577
26624,24472
26141,24558
25077,53759
24575,53856
23701,53949
22980,53835
22723,53929
23449,24534
24234,24554
24812,24472
25917,24663
26623,24627
27240,24544
28272,24543
28845,24454
29695,24543
30342,24448
31373,24674
32071,24600
32769,24564
33611,24514
34220,24468
35148,24543
35839,24474
36922,24655
37639,24576
38349,24532
39192,24517
39866,24480
40666,24557
41314,24461
41684,24639
40959,24604
40114,24488
39423,24478
38523,24480
37880,24543
37008,24490
36216,24567
35433,24529
34482,24509
33791,24506
33013,24481
32255,24591
31481,24456
30790,24644
29881,24497
29144,24530
28453,24593
27420,24492
26749,24554
26048,24494
25207,53760
24423,53839
23696,53872
23023,53888
22679,53847
23503,24805
24148,24496
24919,24600
25810,24476
26623,24531
27228,24522
28214,24524
28961,24583
29658,24484
30457,24543
31199,24480
32003,24563
32791,24591
33545,24552
34323,24591
35113,24464
35880,24559
36577,24488
37619,24619
38379,24628
39162,24553
39978,24584
40610,24512
41376,24551
41551,24470
40959,24679
40254,24644
39444,24546
38624,24543
37833,24476
37116,24549
36052,24480
35508,24702
34659,24606
33791,24548
33080,24527
32199,24464
31526,24550
30614,24482
30040,24670
29245,24640
28478,24561
27695,24513
26656,24482
26127,24559
25084,25138
24575,53928
23756,53910
22982,53833
22662,53880
23444,29338
24223,24641
24780,24480
25935,24661
26623,24506
27222,24516
28167,24463
28840,24464
29704,24599
30346,24458
31369,24631
31976,24492
32732,24527
33534,24469
34214,24468
35183,24595
35831,24467
36904,24575
37559,24465
38277,24523
39139,24479
39855,24523
40708,24594
41295,24471
41650,24569
40897,24480
40108,24546
39395,24577
38566,24584
37887,24608
37013,24472
36160,24551
35379,24480
34535,24607
33820,24624
33077,24535
32298,24591
31450,24476
30783,24552
29833,24474
29214,24655
28550,24630
27669,24583
26743,24555
26080,24462
25183,24550
24402,53788
23793,53968
23051,53984
22740,53831
23495,53916
24108,24506
24901,24571
25794,24484
26623,24701
27314,24633
28210,24537
28903,24490
29596,24460
30442,24557
31202,24472
32100,24687
32876,24596
33541,24511
34239,24489
35069,24465
35868,24559
36559,24464
37738,24675
38378,24501
39123,24529
39897,24477
40598,24475
41364,24599
41579,24468
40959,24607
40152,24490
39416,24531
38550,24494
37807,24504
37146,24589
36037,24483
35460,24589
34532,24474
33791,24519
33018,24465
32224,24532
31587,24589
30612,24484
29937,24539
29133,24492
28440,24555
27436,24584
26720,24547
26141,24613
25088,24469
24495,53856
23634,53823
22987,53856
22714,53951
23472,53831
24247,24631
24800,24472
25845,24595
26594,24460
27261,24647
28236,24628
28910,24544
29695,24551
30320,24450
31308,24532
31912,24457
32852,24671
33610,24612
34276,24549
35151,24518
35800,24464
36640,24558
37514,24465
38386,24695
39249,24618
39934,24540
40656,24493
41259,24484
41640,24539
40877,24452
40292,24682
39502,24581
38567,24531
37874,24509
37017,24468
36136,24548
35341,24485
34658,24655
33809,24505
33045,24522
32220,24483
31449,24490
30776,24551
29872,24486
29267,24602
28456,24492
27698,24525
26670,24488
26081,24518
25199,24605
24416,53791
23749,53904
22953,53845
22701,53836
23431,53928
24153,24584
24887,24603
25796,24477
26623,24591
27146,24484
28196,24555
28903,24576
29653,24498
30467,24593
31189,24470
32004,24559
32732,24482
33553,24595
34298,24604
35099,24528
35921,24603
36553,24468
37592,24591
38271,24472
39168,24652
39935,24593
40645,24552
41401,24579
41563,24458
40957,24543
40116,24485
39528,24687
38620,24627
37863,24558
37147,24527
36083,24448
35424,24543
34526,24492
33922,24678
33126,24640
32278,24551
31561,24492
30601,24464
29929,24559
29157,24466
28573,24703
27781,24612
26745,24537
26124,24515
25088,24464
24511,53904
23656,53823
23111,53960
22728,53887
23451,53833
24190,24535
24792,24489
25855,24600
26597,24474
27319,24635
28162,24480
28862,24535
29655,24490
30334,24516
31276,24589
31925,24468
32840,24615
33495,24480
34273,24530
35101,24496
35839,24536
36872,24598
37530,24484
38360,24559
39087,24490
39913,24600
40625,24610
41276,24537
41677,24621
40905,24472
40224,24587
39407,24482
38640,24629
37905,24644
37071,24544
36210,24538
35360,24476
34589,24551
33791,24473
33135,24691
32376,24641
31536,24561
30776,24549
29869,24469
29199,24541
28432,24487
27855,24672
26799,24630
26151,24558
25180,24524
24400,53759
23715,53896
22944,53815
22781,53976
23537,53967
24191,24591
24819,24531
25782,24476
26623,24579
27136,24491
28319,24679
28948,24525
29653,24509
30408,24490
31184,24483
31992,24594
32677,24496
33663,24623
34266,24488
35064,24522
35839,24483
36543,24519
37605,24605
38265,24480
39212,24599
39878,24480
40632,24538
41294,24510
41611,24545
40959,24583
40115,24469
39489,24565
38581,24496
37847,24556
37110,24592
36151,24548
35464,24597
34494,24490
33827,24549
33011,24486
32263,24559
31593,24594
30792,24536
29976,24605
29156,24496
28529,24558
27650,24484
26749,24645
26197,24641
25152,24594
24539,53904
23680,53742
23003,53904
22624,53783
23541,53984
24251,24663
24897,24560
25834,24530
26484,24488
27231,24553
28093,24480
28975,24671
29695,24622
30394,24548
31226,24490
31930,24456
32786,24547
33480,24473
34379,24683
35197,24599
35839,24521
36564,24497
37500,24484
38311,24593
39067,24488
39992,24655
40702,24528
41260,24535
41607,24529
40893,24498
40250,24590
39395,24486
38704,24605
37887,24487
37103,24540
36151,24503
35373,24538
34646,24613
33791,24480
33113,24603
32253,24493
31528,24531
30744,24529
29928,24546
29238,24603
28436,24480
27775,24651
26730,24500
26136,24542
25167,24589
24516,53791
23754,53931
22940,53791
22743,53888
23424,53845
24191,24681
24880,24634
25829,24546
26623,24598
27131,24428
28159,24539
28839,24469
29695,24662
30431,24592
31233,24533
32013,24536
32616,24456
33558,24547
34196,24461
35168,24687
35897,24613
36587,24533
37569,24485
38234,24464
39153,24539
39844,24468
40718,24687
41403,24588
41605,24530
40959,24517
40094,24464
39472,24581
38559,24476
37928,24664
37151,24539
36138,24529
35413,24510
34494,24512
33852,24590
33032,24472
32368,24649
31570,24503
30773,24531
29900,24484
29162,24491
28551,24598
27650,24490
26829,24563
26120,24488
25154,24541
24438,53855
23696,53809
23059,53952
22635,53807
23477,53920
24100,24545
24863,24573
25803,24589
26576,24548
27263,24611
28121,24480
28916,24593
29652,24480
30415,24601
31256,24609
31942,24548
32834,24604
33467,24468
34276,24549
35074,24464
35856,24660
36657,24622
37570,24550
38361,24583
39063,24468
39935,24559
40575,24473
41385,24686
41751,24635
40959,24590
40252,24520
39415,24484
38629,24549
37842,24482
37253,24686
36230,24624
35444,24557
34595,24513
33790,24468
33105,24553
32249,24472
31650,24719
30860,24554
29945,24549
29218,24516
28426,24472
27743,24591
26713,24469
26293,24665
25208,24520
24525,53778
23690,53852
22940,53778
22697,53952
23408,53823
24283,24678
24809,24512
25799,24522
26569,24478
27140,24517
28204,24587
28834,24475
29695,24572
30327,24500
31212,24529
31918,24508
32681,24522
33580,24593
34202,24472
35122,24563
35839,24482
36585,24555
37541,24554
38229,24520
39200,24595
39857,24472
40641,24559
41293,24473
41630,24611
40959,24613
40147,24528
39517,24578
38557,24472
37890,24547
37070,24468
36208,24645
35539,24596
34552,24562
33861,24549
33028,24460
32285,24543
31499,24466
30871,24679
29956,24620
29215,24561
28539,24506
27680,24456
26761,24539
26096,24469
25319,24673
24549,53913
23743,53793
22995,53887
22608,53786
23451,53908
24086,24576
24959,24703
25875,24588
26574,24532
27216,24501
28105,24472
28883,24557
29576,24467
30516,24623
31246,24576
31912,24526
32710,24483
33442,24488
34261,24589
35047,24472
35889,24621
36613,24484
37546,24517
38253,24490
39068,24504
39932,24551
